Date,CLOSE,Dividend,SplitFactor,CumulativeDividend,cum_factor
2011-02-16,23.380000,0.000000,1.000000,0.000000,1.000000
2011-02-17,25.680000,0.000000,1.000000,0.000000,1.000000
2011-02-18,25.630000,0.000000,1.000000,0.000000,1.000000
2011-02-22,23.210000,0.000000,1.000000,0.000000,1.000000
2011-02-23,22.110000,0.000000,1.000000,0.000000,1.000000
2011-02-24,22.650000,0.000000,1.000000,0.000000,1.000000
2011-02-25,23.120000,0.000000,1.000000,0.000000,1.000000
2011-02-28,22.660000,0.000000,1.000000,0.000000,1.000000
2011-03-01,21.650000,0.000000,1.000000,0.000000,1.000000
2011-03-02,20.750000,0.000000,1.000000,0.000000,1.000000
2011-03-03,20.870000,0.000000,1.000000,0.000000,1.000000
2011-03-04,20.755000,0.000000,1.000000,0.000000,1.000000
2011-03-07,20.470000,0.000000,1.000000,0.000000,1.000000
2011-03-08,19.550000,0.000000,1.000000,0.000000,1.000000
2011-03-09,19.140000,0.000000,1.000000,0.000000,1.000000
2011-03-10,17.920000,0.000000,1.000000,0.000000,1.000000
2011-03-11,18.050000,0.000000,1.000000,0.000000,1.000000
2011-03-14,18.200000,0.000000,1.000000,0.000000,1.000000
2011-03-15,17.660000,0.000000,1.000000,0.000000,1.000000
2011-03-16,17.530000,0.000000,1.000000,0.000000,1.000000
2011-03-17,17.860000,0.000000,1.000000,0.000000,1.000000
2011-03-18,17.620000,0.000000,1.000000,0.000000,1.000000
2011-03-21,17.760000,0.000000,1.000000,0.000000,1.000000
2011-03-22,17.445000,0.000000,1.000000,0.000000,1.000000
2011-03-23,17.810000,0.000000,1.000000,0.000000,1.000000
2011-03-24,19.230000,0.000000,1.000000,0.000000,1.000000
2011-03-25,18.630000,0.000000,1.000000,0.000000,1.000000
2011-03-28,19.320000,0.000000,1.000000,0.000000,1.000000
2011-03-29,19.170000,0.000000,1.000000,0.000000,1.000000
2011-03-30,18.450000,0.000000,1.000000,0.000000,1.000000
2011-03-31,18.460000,0.000000,1.000000,0.000000,1.000000
2011-04-01,18.200000,0.000000,1.000000,0.000000,1.000000
2011-04-04,17.550000,0.000000,1.000000,0.000000,1.000000
2011-04-05,17.580000,0.000000,1.000000,0.000000,1.000000
2011-04-06,17.460000,0.000000,1.000000,0.000000,1.000000
2011-04-07,18.100000,0.000000,1.000000,0.000000,1.000000
2011-04-08,17.550000,0.000000,1.000000,0.000000,1.000000
2011-04-11,17.320000,0.000000,1.000000,0.000000,1.000000
2011-04-12,17.370000,0.000000,1.000000,0.000000,1.000000
2011-04-13,17.760000,0.000000,1.000000,0.000000,1.000000
2011-04-14,18.510000,0.000000,1.000000,0.000000,1.000000
2011-04-15,18.710000,0.000000,1.000000,0.000000,1.000000
2011-04-18,18.090000,0.000000,1.000000,0.000000,1.000000
2011-04-19,18.020000,0.000000,1.000000,0.000000,1.000000
2011-04-20,18.570000,0.000000,1.000000,0.000000,1.000000
2011-04-21,18.520000,0.000000,1.000000,0.000000,1.000000
2011-04-25,18.810000,0.000000,1.000000,0.000000,1.000000
2011-04-26,19.300000,0.000000,1.000000,0.000000,1.000000
2011-04-27,19.300000,0.000000,1.000000,0.000000,1.000000
2011-04-28,19.510000,0.000000,1.000000,0.000000,1.000000
2011-04-29,20.000000,0.000000,1.000000,0.000000,1.000000
2011-05-02,19.730000,0.000000,1.000000,0.000000,1.000000
2011-05-03,18.790000,0.000000,1.000000,0.000000,1.000000
2011-05-04,18.650000,0.000000,1.000000,0.000000,1.000000
2011-05-05,18.660000,0.000000,1.000000,0.000000,1.000000
2011-05-06,19.320000,0.000000,1.000000,0.000000,1.000000
2011-05-09,19.750000,0.000000,1.000000,0.000000,1.000000
2011-05-10,19.780000,0.000000,1.000000,0.000000,1.000000
2011-05-11,19.870000,0.000000,1.000000,0.000000,1.000000
2011-05-12,20.500000,0.000000,1.000000,0.000000,1.000000
2011-05-13,18.260000,0.000000,1.000000,0.000000,1.000000
2011-05-16,17.701000,0.000000,1.000000,0.000000,1.000000
2011-05-17,17.630000,0.000000,1.000000,0.000000,1.000000
2011-05-18,18.040000,0.000000,1.000000,0.000000,1.000000
2011-05-19,17.780000,0.000000,1.000000,0.000000,1.000000
2011-05-20,18.090000,0.000000,1.000000,0.000000,1.000000
2011-05-23,18.070000,0.000000,1.000000,0.000000,1.000000
2011-05-24,18.141000,0.000000,1.000000,0.000000,1.000000
2011-05-25,18.360000,0.000000,1.000000,0.000000,1.000000
2011-05-26,18.820000,0.000000,1.000000,0.000000,1.000000
2011-05-27,19.500000,0.000000,1.000000,0.000000,1.000000
2011-05-31,20.040000,0.000000,1.000000,0.000000,1.000000
2011-06-01,19.140000,0.000000,1.000000,0.000000,1.000000
2011-06-02,19.045000,0.000000,1.000000,0.000000,1.000000
2011-06-03,18.460000,0.000000,1.000000,0.000000,1.000000
2011-06-06,18.070000,0.000000,1.000000,0.000000,1.000000
2011-06-07,18.060000,0.000000,1.000000,0.000000,1.000000
2011-06-08,17.570000,0.000000,1.000000,0.000000,1.000000
2011-06-09,17.370000,0.000000,1.000000,0.000000,1.000000
2011-06-10,17.120000,0.000000,1.000000,0.000000,1.000000
2011-06-13,16.995000,0.000000,1.000000,0.000000,1.000000
2011-06-14,17.140000,0.000000,1.000000,0.000000,1.000000
2011-06-15,16.770000,0.000000,1.000000,0.000000,1.000000
2011-06-16,16.190000,0.000000,1.000000,0.000000,1.000000
2011-06-17,15.805000,0.000000,1.000000,0.000000,1.000000
2011-06-20,15.620000,0.000000,1.000000,0.000000,1.000000
2011-06-21,15.960000,0.000000,1.000000,0.000000,1.000000
2011-06-22,15.740000,0.000000,1.000000,0.000000,1.000000
2011-06-23,16.210000,0.000000,1.000000,0.000000,1.000000
2011-06-24,15.740000,0.000000,1.000000,0.000000,1.000000
2011-06-27,15.410000,0.000000,1.000000,0.000000,1.000000
2011-06-28,15.500000,0.000000,1.000000,0.000000,1.000000
