run_id,quarter,as_of_date,ric,market_cap,market_cap_date,is_dividend_payer_12m,rank_market_cap
20260306T105304Z,2011Q1,2011-02-16,JPM.N,190969464078.66,2011-02-16T00:00:00+00:00,1,7
20260306T105304Z,2011Q1,2011-02-16,KMB.OQ,26308790521.12,2011-02-16T00:00:00+00:00,1,87
20260306T105304Z,2011Q1,2011-02-16,KO.N,147216937974.8,2011-02-16T00:00:00+00:00,1,15
20260306T105304Z,2011Q1,2011-02-16,LIN.OQ,29794031085.94,2011-02-16T00:00:00+00:00,1,78
20260306T105304Z,2011Q1,2011-02-16,LLY.N,40124661240.14,2011-02-16T00:00:00+00:00,1,57
20260306T105304Z,2011Q1,2011-02-16,LMT.N,28436228949.12,2011-02-16T00:00:00+00:00,1,81
20260306T105304Z,2011Q1,2011-02-16,LOW.N,35590300813.11,2011-02-16T00:00:00+00:00,1,66
20260306T105304Z,2011Q1,2011-02-16,MA.N,33221120372.16,2011-02-16T00:00:00+00:00,1,70
20260306T105304Z,2011Q1,2011-02-16,MCD.N,79311585494.8199,2011-02-16T00:00:00+00:00,1,28
20260306T105304Z,2011Q1,2011-02-16,MDLZ.OQ,53866959238.4,2011-02-16T00:00:00+00:00,1,39
20260306T105304Z,2011Q1,2011-02-16,MDT.N,43153739662.2,2011-02-16T00:00:00+00:00,1,53
20260306T105304Z,2011Q1,2011-02-16,MET.N,46819304484.48,2011-02-16T00:00:00+00:00,1,45
20260306T105304Z,2011Q1,2011-02-16,MMM.N,65721045948.74,2011-02-16T00:00:00+00:00,1,34
20260306T105304Z,2011Q1,2011-02-16,MO.N,51211807145.28,2011-02-16T00:00:00+00:00,1,42
20260306T105304Z,2011Q1,2011-02-16,MOS.N,38489190116.75,2011-02-16T00:00:00+00:00,1,61
20260306T105304Z,2011Q1,2011-02-16,MRK.N,101618339773.12,2011-02-16T00:00:00+00:00,1,22
20260306T105304Z,2011Q1,2011-02-16,MS.N,47466351994.51,2011-02-16T00:00:00+00:00,1,44
20260306T105304Z,2011Q1,2011-02-16,MSFT.OQ,227032362477.62,2011-02-16T00:00:00+00:00,1,3
20260306T105304Z,2011Q1,2011-02-16,NEM.N,28184891103.6,2011-02-16T00:00:00+00:00,1,82
20260306T105304Z,2011Q1,2011-02-16,NKE.N,41030925412.75,2011-02-16T00:00:00+00:00,1,55
20260306T105304Z,2011Q1,2011-02-16,NSC.N,24434613168.68,2011-02-16T00:00:00+00:00,1,93
20260306T105304Z,2011Q1,2011-02-16,ORCL.N,167285626200.0,2011-02-16T00:00:00+00:00,1,11
20260306T105304Z,2011Q1,2011-02-16,OXY.N,85365419728.3799,2011-02-16T00:00:00+00:00,1,26
20260306T105304Z,2011Q1,2011-02-16,PEP.OQ,101472755289.36,2011-02-16T00:00:00+00:00,1,23
20260306T105304Z,2011Q1,2011-02-16,PFE.N,154431860813.36,2011-02-16T00:00:00+00:00,1,13
20260306T105304Z,2011Q1,2011-02-16,PG.N,178577962336.0,2011-02-16T00:00:00+00:00,1,8
20260306T105304Z,2011Q1,2011-02-16,PM.N,109085883385.4,2011-02-16T00:00:00+00:00,1,18
20260306T105304Z,2011Q1,2011-02-16,PNC.N,34105326932.88,2011-02-16T00:00:00+00:00,1,68
20260306T105304Z,2011Q1,2011-02-16,PRU.N,32406480000.0,2011-02-16T00:00:00+00:00,1,72
20260306T105304Z,2011Q1,2011-02-16,QCOM.OQ,96224892947.44,2011-02-16T00:00:00+00:00,1,24
20260306T105304Z,2011Q1,2011-02-16,RTX.N,78356782054.4,2011-02-16T00:00:00+00:00,1,29
20260306T105304Z,2011Q1,2011-02-16,SBUX.OQ,25043220000.0,2011-02-16T00:00:00+00:00,1,91
20260306T105304Z,2011Q1,2011-02-16,SCHW.N,23284128280.05,2011-02-16T00:00:00+00:00,1,99
20260306T105304Z,2011Q1,2011-02-16,SLB.N,127838631257.75,2011-02-16T00:00:00+00:00,1,16
20260306T105304Z,2011Q1,2011-02-16,SO.N,32031884987.52,2011-02-16T00:00:00+00:00,1,73
20260306T105304Z,2011Q1,2011-02-16,SPG.N,31585212889.47,2011-02-16T00:00:00+00:00,1,74
20260306T105304Z,2011Q1,2011-02-16,STT.N,23201160351.6,2011-02-16T00:00:00+00:00,1,100
20260306T105304Z,2011Q1,2011-02-16,SYK.N,23877753327.89,2011-02-16T00:00:00+00:00,1,95
20260306T105304Z,2011Q1,2011-02-16,T.N,167293565786.0,2011-02-16T00:00:00+00:00,1,10
20260306T105304Z,2011Q1,2011-02-16,TGT.N,38052312707.6,2011-02-16T00:00:00+00:00,1,62
20260306T105304Z,2011Q1,2011-02-16,TRV.N,25630382066.22,2011-02-16T00:00:00+00:00,1,90
20260306T105304Z,2011Q1,2011-02-16,TXN.OQ,42252455637.7,2011-02-16T00:00:00+00:00,1,54
20260306T105304Z,2011Q1,2011-02-16,UNH.N,46482021732.5,2011-02-16T00:00:00+00:00,1,46
20260306T105304Z,2011Q1,2011-02-16,UNP.N,47951198286.56,2011-02-16T00:00:00+00:00,1,43
20260306T105304Z,2011Q1,2011-02-16,UPS.N,74685376176.84,2011-02-16T00:00:00+00:00,1,30
20260306T105304Z,2011Q1,2011-02-16,USB.N,55159845321.0,2011-02-16T00:00:00+00:00,1,37
20260306T105304Z,2011Q1,2011-02-16,V.N,54135783290.52,2011-02-16T00:00:00+00:00,1,38
20260306T105304Z,2011Q1,2011-02-16,VZ.N,102291375561.21,2011-02-16T00:00:00+00:00,1,21
20260306T105304Z,2011Q1,2011-02-16,WFC.N,175427022608.099,2011-02-16T00:00:00+00:00,1,9
20260306T105304Z,2011Q1,2011-02-16,WMT.OQ,194306788737.7,2011-02-16T00:00:00+00:00,1,6
20260306T105304Z,2011Q1,2011-02-16,XOM.N,414985096832.089,2011-02-16T00:00:00+00:00,1,1
20260306T105304Z,2011Q1,2011-02-16,YUM.N,23923926916.92,2011-02-16T00:00:00+00:00,1,94
20260306T105304Z,2011Q2,2011-04-01,ABT.N,76734951117.56,2011-04-01T00:00:00+00:00,1,31
20260306T105304Z,2011Q2,2011-04-01,ACN.N,39227046349.83,2011-04-01T00:00:00+00:00,1,60
20260306T105304Z,2011Q2,2011-04-01,ADP.OQ,25654813402.24,2011-04-01T00:00:00+00:00,1,92
20260306T105304Z,2011Q2,2011-04-01,AFL.N,25156333654.0,2011-04-01T00:00:00+00:00,1,94
20260306T105304Z,2011Q2,2011-04-01,APA.OQ,49762983508.38,2011-04-01T00:00:00+00:00,1,44
20260306T105304Z,2011Q2,2011-04-01,AXP.N,54541277048.1599,2011-04-01T00:00:00+00:00,1,39
20260306T105304Z,2011Q2,2011-04-01,BA.N,54550721367.06,2011-04-01T00:00:00+00:00,1,38
20260306T105304Z,2011Q2,2011-04-01,BAC.N,136255439274.9,2011-04-01T00:00:00+00:00,1,15
20260306T105304Z,2011Q2,2011-04-01,BAX.N,30932487940.41,2011-04-01T00:00:00+00:00,1,77
20260306T105304Z,2011Q2,2011-04-01,BEN.N,28373898019.2,2011-04-01T00:00:00+00:00,1,83
20260306T105304Z,2011Q2,2011-04-01,BK.N,37586981998.95,2011-04-01T00:00:00+00:00,1,62
20260306T105304Z,2011Q2,2011-04-01,BKR.OQ,31444782819.84,2011-04-01T00:00:00+00:00,1,74
20260306T105304Z,2011Q2,2011-04-01,BLK.N,38820057173.11,2011-04-01T00:00:00+00:00,1,61
20260306T105304Z,2011Q2,2011-04-01,BMY.N,45140454598.68,2011-04-01T00:00:00+00:00,1,50
20260306T105304Z,2011Q2,2011-04-01,CAT.N,72900412502.4,2011-04-01T00:00:00+00:00,1,33
20260306T105304Z,2011Q2,2011-04-01,CCL.N,30544744981.8872,2011-04-01T00:00:00+00:00,1,78
20260306T105304Z,2011Q2,2011-04-01,CL.N,39365744557.92,2011-04-01T00:00:00+00:00,1,58
20260306T105304Z,2011Q2,2011-04-01,CMCSA.OQ,68631214723.3,2011-04-01T00:00:00+00:00,1,34
20260306T105304Z,2011Q2,2011-04-01,COF.N,23891815521.41,2011-04-01T00:00:00+00:00,1,98
20260306T105304Z,2011Q2,2011-04-01,COP.N,112628206923.84,2011-04-01T00:00:00+00:00,1,18
20260306T105304Z,2011Q2,2011-04-01,COST.OQ,32436825968.25,2011-04-01T00:00:00+00:00,1,71
20260306T105304Z,2011Q2,2011-04-01,CSCO.OQ,94197032175.84,2011-04-01T00:00:00+00:00,1,23
20260306T105304Z,2011Q2,2011-04-01,CSX.OQ,29182829659.09,2011-04-01T00:00:00+00:00,1,81
20260306T105304Z,2011Q2,2011-04-01,CVS.N,47761114276.16,2011-04-01T00:00:00+00:00,1,47
20260306T105304Z,2011Q2,2011-04-01,CVX.N,217749317576.8,2011-04-01T00:00:00+00:00,1,2
20260306T105304Z,2011Q2,2011-04-01,D.N,25738149546.3,2011-04-01T00:00:00+00:00,1,91
20260306T105304Z,2011Q2,2011-04-01,DE.N,41514649009.0,2011-04-01T00:00:00+00:00,1,55
20260306T105304Z,2011Q2,2011-04-01,DHR.N,34870396004.57,2011-04-01T00:00:00+00:00,1,67
20260306T105304Z,2011Q2,2011-04-01,DIS.N,81375108364.0,2011-04-01T00:00:00+00:00,1,28
20260306T105304Z,2011Q2,2011-04-01,DUK.N,24518612795.82,2011-04-01T00:00:00+00:00,1,95
20260306T105304Z,2011Q2,2011-04-01,DVN.N,39284000000.0,2011-04-01T00:00:00+00:00,1,59
20260306T105304Z,2011Q2,2011-04-01,ELV.N,26226612669.0,2011-04-01T00:00:00+00:00,1,90
20260306T105304Z,2011Q2,2011-04-01,EMR.N,44492697680.0,2011-04-01T00:00:00+00:00,1,52
20260306T105304Z,2011Q2,2011-04-01,EOG.N,31751012205.76,2011-04-01T00:00:00+00:00,1,73
20260306T105304Z,2011Q2,2011-04-01,EXC.OQ,27256730544.96,2011-04-01T00:00:00+00:00,1,86
20260306T105304Z,2011Q2,2011-04-01,FCX.N,52133123665.08,2011-04-01T00:00:00+00:00,1,42
20260306T105304Z,2011Q2,2011-04-01,FDX.N,29987504585.0,2011-04-01T00:00:00+00:00,1,80
20260306T105304Z,2011Q2,2011-04-01,GD.N,28905400360.2,2011-04-01T00:00:00+00:00,1,82
20260306T105304Z,2011Q2,2011-04-01,GE.N,215997564721.32,2011-04-01T00:00:00+00:00,1,3
20260306T105304Z,2011Q2,2011-04-01,GLW.N,32271032497.41,2011-04-01T00:00:00+00:00,1,72
20260306T105304Z,2011Q2,2011-04-01,GS.N,83400883877.8499,2011-04-01T00:00:00+00:00,1,27
20260306T105304Z,2011Q2,2011-04-01,HAL.N,45116469948.48,2011-04-01T00:00:00+00:00,1,51
20260306T105304Z,2011Q2,2011-04-01,HD.N,60924966402.48,2011-04-01T00:00:00+00:00,1,36
20260306T105304Z,2011Q2,2011-04-01,HON.OQ,46638121043.2999,2011-04-01T00:00:00+00:00,1,49
20260306T105304Z,2011Q2,2011-04-01,HPQ.N,88677895371.5399,2011-04-01T00:00:00+00:00,1,25
20260306T105304Z,2011Q2,2011-04-01,IBM.N,198963856854.0,2011-04-01T00:00:00+00:00,1,5
20260306T105304Z,2011Q2,2011-04-01,INTC.OQ,106195308621.36,2011-04-01T00:00:00+00:00,1,20
20260306T105304Z,2011Q2,2011-04-01,ITW.N,27077675226.6,2011-04-01T00:00:00+00:00,1,87
20260306T105304Z,2011Q2,2011-04-01,JNJ.N,163019602360.98,2011-04-01T00:00:00+00:00,1,12
20260306T105304Z,2011Q2,2011-04-01,JPM.N,184862081413.35,2011-04-01T00:00:00+00:00,1,6
20260306T105304Z,2011Q2,2011-04-01,KMB.OQ,26352004350.28,2011-04-01T00:00:00+00:00,1,89
20260306T105304Z,2011Q2,2011-04-01,KO.N,154278534341.78,2011-04-01T00:00:00+00:00,1,14
